episodes,rewards,steps
464,0.5549999999999999,5
465,0.5549999999999999,5
466,0.5549999999999999,5
467,0.5549999999999999,5
468,0.5549999999999999,5
469,0.5549999999999999,5
470,0.5549999999999999,5
471,0.5549999999999999,5
472,0.5549999999999999,5
473,0.5549999999999999,5
474,0.5549999999999999,5
475,0.5549999999999999,5
476,0.5549999999999999,5
477,0.5549999999999999,5
478,0.5549999999999999,5
479,0.5549999999999999,5
480,0.5549999999999999,5
481,0.33699999999999997,7
482,0.5549999999999999,5
483,0.5549999999999999,5
484,0.5549999999999999,5
485,0.5549999999999999,5
486,0.5549999999999999,5
487,0.33699999999999997,7
488,0.5549999999999999,5
489,0.5549999999999999,5
490,0.5549999999999999,5
491,0.5549999999999999,5
492,0.5549999999999999,5
493,0.5549999999999999,5
494,0.5549999999999999,5
495,0.5549999999999999,5
496,0.5549999999999999,5
497,0.5549999999999999,5
498,0.5549999999999999,5
499,0.5549999999999999,5
500,0.5549999999999999,5
501,0.5549999999999999,5
502,0.5549999999999999,5
503,0.5549999999999999,5
504,0.1190000000000001,9
505,0.5549999999999999,5
506,0.5549999999999999,5
507,0.5549999999999999,5
508,0.5549999999999999,5
509,0.5549999999999999,5
510,0.5549999999999999,5
511,0.5549999999999999,5
512,0.5549999999999999,5
513,0.5549999999999999,5
514,0.5549999999999999,5
515,0.5549999999999999,5
516,0.5549999999999999,5
517,0.5549999999999999,5
518,0.5549999999999999,5
519,0.5549999999999999,5
520,0.5549999999999999,5
521,0.5549999999999999,5
522,0.5549999999999999,5
523,0.5549999999999999,5
524,0.5549999999999999,5
525,0.5549999999999999,5
526,0.5549999999999999,5
527,0.5549999999999999,5
528,0.5549999999999999,5
529,0.5549999999999999,5
530,0.5549999999999999,5
531,0.5549999999999999,5
532,0.5549999999999999,5
533,0.5549999999999999,5
534,0.5549999999999999,5
535,0.5549999999999999,5
536,0.5549999999999999,5
537,0.5549999999999999,5
538,0.5549999999999999,5
539,0.5549999999999999,5
540,0.5549999999999999,5
541,0.5549999999999999,5
542,0.5549999999999999,5
543,-5.330999999999995,59
544,-1.6250000000000009,25
545,0.5549999999999999,5
546,-1.7340000000000009,26
547,0.5549999999999999,5
548,-9.254999999999983,95
549,-2.8240000000000016,36
550,0.5549999999999999,5
551,0.5549999999999999,5
552,0.5549999999999999,5
553,0.5549999999999999,5
554,0.5549999999999999,5
555,-1.5160000000000007,24
556,-1.6250000000000009,25
557,0.5549999999999999,5
558,-0.31699999999999995,13
559,0.5549999999999999,5
560,-2.6060000000000016,34
561,-5.548999999999995,61
562,-1.952000000000001,28
563,0.5549999999999999,5
564,0.5549999999999999,5
565,-5.548999999999995,61
566,-9.254999999999983,95
567,0.5549999999999999,5
568,-0.31699999999999995,13
569,-1.4070000000000007,23
570,0.5549999999999999,5
571,0.5549999999999999,5
572,0.5549999999999999,5
573,0.5549999999999999,5
574,0.5549999999999999,5
575,0.5549999999999999,5
576,0.5549999999999999,5
577,0.5549999999999999,5
578,0.5549999999999999,5
579,0.5549999999999999,5
580,0.5549999999999999,5
581,0.5549999999999999,5
582,0.5549999999999999,5
583,0.5549999999999999,5
584,0.5549999999999999,5
585,0.5549999999999999,5
586,0.5549999999999999,5
587,0.5549999999999999,5
588,0.5549999999999999,5
589,0.5549999999999999,5
590,0.5549999999999999,5
591,0.5549999999999999,5
592,0.5549999999999999,5
593,0.5549999999999999,5
594,0.5549999999999999,5
595,0.01000000000000012,10
596,0.5549999999999999,5
597,0.5549999999999999,5
598,0.5549999999999999,5
599,0.5549999999999999,5
600,0.5549999999999999,5
601,0.5549999999999999,5
602,0.5549999999999999,5
603,0.5549999999999999,5
604,0.5549999999999999,5
605,0.5549999999999999,5
606,0.5549999999999999,5
607,0.5549999999999999,5
608,0.5549999999999999,5
609,0.5549999999999999,5
610,0.33699999999999997,7
611,0.5549999999999999,5
612,0.5549999999999999,5
613,0.5549999999999999,5
614,0.5549999999999999,5
615,0.5549999999999999,5
616,0.5549999999999999,5
617,0.5549999999999999,5
618,0.5549999999999999,5
619,0.5549999999999999,5
620,0.5549999999999999,5
621,0.5549999999999999,5
622,0.5549999999999999,5
623,0.5549999999999999,5
624,0.5549999999999999,5
625,0.5549999999999999,5
626,0.5549999999999999,5
627,0.5549999999999999,5
628,0.5549999999999999,5
629,0.5549999999999999,5
630,0.5549999999999999,5
631,0.5549999999999999,5
632,0.5549999999999999,5
633,0.5549999999999999,5
634,0.5549999999999999,5
635,0.5549999999999999,5
636,0.44599999999999995,6
637,0.5549999999999999,5
638,0.5549999999999999,5
639,0.5549999999999999,5
640,0.5549999999999999,5
641,0.5549999999999999,5
642,0.5549999999999999,5
643,0.5549999999999999,5
644,0.5549999999999999,5
645,0.5549999999999999,5
646,0.5549999999999999,5
647,0.5549999999999999,5
648,0.5549999999999999,5
649,0.5549999999999999,5
650,0.5549999999999999,5
651,0.5549999999999999,5
652,0.5549999999999999,5
653,0.5549999999999999,5
654,0.5549999999999999,5
655,0.5549999999999999,5
656,-9.99999999999998,100
657,0.5549999999999999,5
658,0.5549999999999999,5
659,0.5549999999999999,5
660,0.5549999999999999,5
661,0.5549999999999999,5
662,0.5549999999999999,5
663,0.5549999999999999,5
664,0.5549999999999999,5
665,0.5549999999999999,5
666,0.44599999999999995,6
667,0.5549999999999999,5
668,0.5549999999999999,5
669,0.5549999999999999,5
670,0.5549999999999999,5
671,0.5549999999999999,5
672,0.5549999999999999,5
673,0.5549999999999999,5
674,0.5549999999999999,5
675,0.5549999999999999,5
676,0.5549999999999999,5
677,0.5549999999999999,5
678,0.5549999999999999,5
679,0.5549999999999999,5
680,0.5549999999999999,5
681,0.5549999999999999,5
682,0.5549999999999999,5
683,0.5549999999999999,5
684,0.5549999999999999,5
685,0.5549999999999999,5
686,0.5549999999999999,5
687,0.5549999999999999,5
688,0.5549999999999999,5
689,0.5549999999999999,5
690,0.5549999999999999,5
691,0.5549999999999999,5
692,0.5549999999999999,5
693,0.5549999999999999,5
694,0.5549999999999999,5
695,0.5549999999999999,5
696,0.5549999999999999,5
697,0.5549999999999999,5
698,0.5549999999999999,5
699,0.5549999999999999,5
700,0.5549999999999999,5
701,0.5549999999999999,5
702,0.5549999999999999,5
703,0.5549999999999999,5
704,-9.99999999999998,100
705,0.5549999999999999,5
706,0.44599999999999995,6
707,0.5549999999999999,5
708,0.5549999999999999,5
709,0.5549999999999999,5
710,0.5549999999999999,5
711,0.5549999999999999,5
712,0.5549999999999999,5
713,0.5549999999999999,5
714,0.5549999999999999,5
715,0.5549999999999999,5
716,0.5549999999999999,5
717,0.5549999999999999,5
718,0.5549999999999999,5
719,0.5549999999999999,5
720,0.5549999999999999,5
721,0.5549999999999999,5
722,0.5549999999999999,5
723,0.5549999999999999,5
724,0.5549999999999999,5
725,0.5549999999999999,5
726,0.5549999999999999,5
727,0.5549999999999999,5
728,0.5549999999999999,5
729,0.5549999999999999,5
730,0.5549999999999999,5
731,0.5549999999999999,5
732,0.5549999999999999,5
733,0.5549999999999999,5
734,0.5549999999999999,5
735,0.5549999999999999,5
736,0.44599999999999995,6
737,0.5549999999999999,5
738,0.44599999999999995,6
739,0.5549999999999999,5
740,0.5549999999999999,5
741,0.5549999999999999,5
742,0.5549999999999999,5
743,0.5549999999999999,5
744,0.5549999999999999,5
745,-0.9710000000000005,19
746,0.5549999999999999,5
747,0.5549999999999999,5
748,0.5549999999999999,5
749,0.5549999999999999,5
750,0.5549999999999999,5
751,0.5549999999999999,5
752,0.1190000000000001,9
753,0.5549999999999999,5
754,0.5549999999999999,5
755,0.5549999999999999,5
756,0.5549999999999999,5
757,0.5549999999999999,5
758,0.5549999999999999,5
759,0.5549999999999999,5
760,0.5549999999999999,5
761,0.5549999999999999,5
762,0.5549999999999999,5
763,0.5549999999999999,5
764,0.5549999999999999,5
765,0.5549999999999999,5
766,0.5549999999999999,5
767,0.5549999999999999,5
768,0.5549999999999999,5
769,0.5549999999999999,5
770,0.5549999999999999,5
771,0.5549999999999999,5
772,0.5549999999999999,5
773,0.5549999999999999,5
774,0.33699999999999997,7
775,0.5549999999999999,5
776,0.5549999999999999,5
777,0.5549999999999999,5
778,0.5549999999999999,5
779,0.5549999999999999,5
780,0.5549999999999999,5
781,0.44599999999999995,6
782,-7.946999999999987,83
783,-9.99999999999998,100
784,-9.99999999999998,100
785,-9.99999999999998,100
786,-9.99999999999998,100
787,-6.311999999999992,68
788,0.5549999999999999,5
789,0.5549999999999999,5
790,0.5549999999999999,5
791,0.5549999999999999,5
792,0.5549999999999999,5
793,0.5549999999999999,5
794,0.5549999999999999,5
795,0.5549999999999999,5
796,0.5549999999999999,5
797,0.5549999999999999,5
798,0.5549999999999999,5
799,0.5549999999999999,5
800,0.5549999999999999,5
801,0.5549999999999999,5
802,0.5549999999999999,5
803,0.5549999999999999,5
804,0.5549999999999999,5
805,0.5549999999999999,5
806,0.5549999999999999,5
807,0.5549999999999999,5
808,0.22799999999999998,8
809,0.5549999999999999,5
810,0.22799999999999998,8
811,0.5549999999999999,5
812,0.44599999999999995,6
813,0.5549999999999999,5
814,0.5549999999999999,5
815,0.5549999999999999,5
816,0.5549999999999999,5
817,0.5549999999999999,5
818,0.5549999999999999,5
819,0.5549999999999999,5
820,0.5549999999999999,5
821,0.5549999999999999,5
822,0.5549999999999999,5
823,-0.8620000000000004,18
824,0.01000000000000012,10
825,-3.4780000000000015,42
826,0.5549999999999999,5
827,0.5549999999999999,5
828,0.5549999999999999,5
829,0.5549999999999999,5
830,0.5549999999999999,5
831,0.5549999999999999,5
832,0.5549999999999999,5
833,0.5549999999999999,5
834,0.5549999999999999,5
835,0.5549999999999999,5
836,0.5549999999999999,5
837,0.5549999999999999,5
838,0.5549999999999999,5
839,0.5549999999999999,5
840,0.44599999999999995,6
841,0.5549999999999999,5
842,0.5549999999999999,5
843,0.5549999999999999,5
844,0.5549999999999999,5
845,0.5549999999999999,5
846,0.5549999999999999,5
847,0.5549999999999999,5
848,0.5549999999999999,5
849,0.5549999999999999,5
850,0.5549999999999999,5
851,0.5549999999999999,5
852,0.5549999999999999,5
853,0.5549999999999999,5
854,0.5549999999999999,5
855,0.5549999999999999,5
856,0.5549999999999999,5
857,0.5549999999999999,5
858,0.5549999999999999,5
859,0.5549999999999999,5
860,0.5549999999999999,5
861,0.5549999999999999,5
862,0.5549999999999999,5
863,0.5549999999999999,5
864,0.5549999999999999,5
865,0.5549999999999999,5
866,0.5549999999999999,5
867,0.5549999999999999,5
868,0.5549999999999999,5
869,0.5549999999999999,5
870,0.5549999999999999,5
871,0.5549999999999999,5
872,0.5549999999999999,5
873,0.5549999999999999,5
874,0.5549999999999999,5
875,0.5549999999999999,5
876,0.5549999999999999,5
877,0.5549999999999999,5
878,0.5549999999999999,5
879,0.5549999999999999,5
880,0.5549999999999999,5
881,0.5549999999999999,5
882,0.5549999999999999,5
883,0.5549999999999999,5
884,0.5549999999999999,5
885,0.5549999999999999,5
886,0.5549999999999999,5
887,0.5549999999999999,5
888,0.5549999999999999,5
889,-7.837999999999987,82
890,-0.42600000000000005,14
891,0.5549999999999999,5
892,0.5549999999999999,5
893,0.44599999999999995,6
894,0.5549999999999999,5
895,0.5549999999999999,5
896,0.5549999999999999,5
897,0.5549999999999999,5
898,0.5549999999999999,5
899,0.5549999999999999,5
900,0.5549999999999999,5
901,0.5549999999999999,5
902,0.5549999999999999,5
903,0.5549999999999999,5
904,0.5549999999999999,5
905,0.5549999999999999,5
906,0.44599999999999995,6
907,0.5549999999999999,5
908,0.5549999999999999,5
909,0.5549999999999999,5
910,0.5549999999999999,5
911,0.5549999999999999,5
912,0.5549999999999999,5
913,0.5549999999999999,5
914,0.5549999999999999,5
915,0.5549999999999999,5
916,0.5549999999999999,5
917,0.5549999999999999,5
918,0.5549999999999999,5
919,0.5549999999999999,5
920,0.5549999999999999,5
921,0.5549999999999999,5
922,0.5549999999999999,5
923,0.5549999999999999,5
924,0.5549999999999999,5
925,0.5549999999999999,5
926,0.5549999999999999,5
927,0.5549999999999999,5
928,0.5549999999999999,5
929,0.5549999999999999,5
930,0.5549999999999999,5
931,0.5549999999999999,5
932,0.5549999999999999,5
933,0.5549999999999999,5
934,0.5549999999999999,5
935,0.5549999999999999,5
936,0.5549999999999999,5
937,0.5549999999999999,5
938,0.5549999999999999,5
939,0.5549999999999999,5
940,0.5549999999999999,5
941,0.5549999999999999,5
942,0.5549999999999999,5
943,0.5549999999999999,5
944,0.5549999999999999,5
945,0.33699999999999997,7
946,0.5549999999999999,5
947,0.5549999999999999,5
948,0.5549999999999999,5
949,0.33699999999999997,7
950,0.5549999999999999,5
951,0.44599999999999995,6
952,0.5549999999999999,5
953,0.5549999999999999,5
954,0.5549999999999999,5
955,0.5549999999999999,5
956,0.5549999999999999,5
957,0.5549999999999999,5
958,0.5549999999999999,5
959,0.5549999999999999,5
960,0.5549999999999999,5
961,0.5549999999999999,5
962,0.5549999999999999,5
963,0.5549999999999999,5
964,0.5549999999999999,5
965,0.5549999999999999,5
966,0.5549999999999999,5
967,0.5549999999999999,5
968,0.33699999999999997,7
969,0.5549999999999999,5
970,0.5549999999999999,5
971,0.5549999999999999,5
972,0.5549999999999999,5
973,0.5549999999999999,5
974,0.5549999999999999,5
975,0.5549999999999999,5
976,0.22799999999999998,8
977,0.5549999999999999,5
978,0.5549999999999999,5
979,0.5549999999999999,5
980,-0.09899999999999987,11
981,0.5549999999999999,5
982,0.5549999999999999,5
983,0.5549999999999999,5
984,0.5549999999999999,5
985,0.5549999999999999,5
986,0.5549999999999999,5
987,0.5549999999999999,5
988,0.5549999999999999,5
989,0.5549999999999999,5
990,0.44599999999999995,6
991,0.5549999999999999,5
992,0.5549999999999999,5
993,0.5549999999999999,5
994,0.5549999999999999,5
995,0.5549999999999999,5
996,0.5549999999999999,5
997,0.5549999999999999,5
998,0.5549999999999999,5
999,0.5549999999999999,5
